id,label,group
heidenheim,1. FC Heidenheim,german
vfbstuttgart,VfB Stuttgart,german
ulm,SSV Ulm 1846 Fußball,german
aue,Erzgebirge Aue,german
wiesbaden,SV Wehen Wiesbaden,german
nuernberg,1. FC Nürnberg,german
bielefeld,Arminia Bielefeld,german
bvb,Borussia Dortmund,german
frankfurt,Eintracht Frankfurt,german
augsburg,FC Augsburg,german
hannover,Hannover 96,german
ksc,Karlsruher SC,german
regensburg,SSV Jahn Regensburg,german
sandhausen,SV Sandhausen,german
osnabrueck,VfL Osnabrück,german
koeln,1. FC Köln,german
armenien,Armenien (N11),europe
atleticomadrid,Atletico Madrid,spain
bayer,Bayer 04 Leverkusen,german
dresden,Dynamo Dresden,german
braunschweig,Eintracht Braunschweig,german
exeter,Exeter City,uk
ingolstadt,FC Ingolstadt,german
schalke,FC Schalke 04,german
stgallen,FC St. Gallen,swiss
duesseldorf,Fortuna Düsseldorf,german
ravensburg,FV Ravensburg,german
hsv,Hamburger SV,german
holstein,Holstein Kiel,german
liechtenstein,Liechtenstein (N11),europe
middlesbrough,Middlesbrough FC,uk
portsmouth,Portsmouth FC,uk
paderborn,SC Paderborn,german
fuerth,SpVgg Greuther Fürth,german
stokecityyouth,Stoke City U23,uk
darmstadt,SV Darmstadt 98,german
hoffenheim,TSG 1899 Hoffenheim,german
ilshofen,TSV Ilshofen,german
werder,Werder Bremen,german
westhamyouth,West Ham United U23,uk
